1;186.154
2;47.2187
3;45.2884
4;48.7611
5;46.7408
6;50.9712
7;49.4719
8;46.6286
9;50.2471
10;48.4624
11;47.8036
12;48.4133
13;46.4127
14;45.3456
15;46.1311
16;46.2373
17;45.5867
18;46.7054
19;45.5257
20;46.0513
21;46.644
22;45.5862
23;47.6155
24;47.2993
25;54.8129
26;49.3507
27;50.5565
28;52.7384
29;51.519
30;57.6903
31;49.9272
32;50.5723
33;51.9914
34;54.3935
35;53.1489
36;58.1848
37;53.2291
38;50.3547
39;65.7795
40;49.8678
41;52.2794
42;52.1953
43;52.5102
44;52.4184
45;52.8865
46;53.8282
47;53.1237
48;57.2598
49;53.3823
50;53.7424
51;56.6779
52;54.2412
53;51.499
54;52.3992
55;51.3202
56;51.496
57;51.1619
58;52.5784
59;52.2213
60;50.1298
61;52.8959
62;53.3144
63;51.5105
64;50.3564
