1,189.941
2,47.8463
3,46.888
4,47.6671
5,46.7408
6,48.2811
7,45.6861
8,47.8292
9,46.2258
10,46.4276
11,46.097
12,45.9604
13,46.3252
14,46.8334
15,46.6162
16,46.5283
17,46.399
18,46.5693
19,46.6132
20,46.8927
21,47.0412
22,46.6171
23,48.9855
24,48.6762
25,47.8288
26,48.459
27,47.8664
28,48.9168
29,49.2466
30,50.0675
31,50.5407
32,48.8613
33,48.689
34,48.8729
35,48.8281
36,48.9172
37,49.0329
38,49.617
39,50.9593
40,49.8738
41,50.0223
42,49.998
43,48.9556
44,49.2453
45,49.3883
46,49.2799
47,49.4361
48,49.4006
49,50.3777
50,49.4838
51,49.4113
52,52.5187
53,52.5187
54,51.9628
55,51.7413
56,52.6092
57,52.3463
58,52.7052
59,56.2183
60,49.8269
61,53.5517
62,51.3518
63,50.6661
64,53.7603
